Question,CorrectAnswer,GivenAnswer,Correct
"އިންގްލެންޑާއި އިޒްރޭލު ފަދަ ގައުމުތަކުގެ ސިޔާސީ ޕާޓީތަކާ އަޅާ ބަލާއިރު، އެ ދެ ގައުމުގައި ވެސް މަލްޓިޕާޓީ ސިސްޓަމްތައް އޮންނަ އިރު، އެމެރިކާގެ ސިޔާސީ ޕާޓީތަކަކީ
A.އިންތިޚާބުގެ ނަތީޖާއަށް ނުފޫޒު ފޯރުވުމުގެ ޝައުޤުވެރިކަން ކުޑަވުން
B.ސިޔާސީ ފިކުރުތައް ދެމެހެއްޓެނިވި ގޮތެއްގައި ދެނެގަނެވިފައި ނުވާކަން އެނގެއެވެ.
C.ސިޔާސީ ސަޕޯޓަރުންގެ އަތުން ފައިސާ ހޯދުމުގައި ނުފޫޒު ކުޑަ
D.އެބޭފުޅުންގެ މުޅި ދާއިރާތަކުގެ ލަނޑުދަނޑިތައް ދައްކުވައިދެއްވުން މާ ރަނގަޅެވެ.",b,a,false
"ރީޕްލޭ އެޓޭކަކީ ކޮބައި ހެއްޔެވެ؟
A.ސިސްޓަމުން ފޮނުވި މެސެޖަކަށް ހަމަލާދިން މީހާ ޖަވާބު ދިނުމުން
B.ނިކަމެތިކަމެއް ހޯދުމަށް ތަޙްޤީޤުކޮށް، ތަކުރާރުކޮށް ތަކުރާރުކުރާ ޙަމަލާއެކެވެ.
C.ސިސްޓަމްގެ އަމިއްލަ މެސެޖްތައް ބޭނުންކޮށްގެން ދޭ ހަމަލާއެއް އަދި ދިފާއު ނުކުރެވޭނެ
D.ހަމަލާދިން މީހާ އަތުލައިގަތް މެސެޖެއް އަލުން ފޮނުވައި، ސައިޓުން އެކަން ބަލައިގަނެ، ހަމަލާދޭ މީހާގެ ހައްގުގައި ރައްދު ދެއެވެ.",d,d,true
"$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,a.1,false
"އެންމެ ކައިރީގައި ވާ ހާހަކަށް ރައުންޑްކޮށްފައިވާ ނަމްބަރަކީ 47،000 އެވެ. ރައުންޑް ކުރި ނަމްބަރަކީ ކޮން ނަމްބަރެއް ހެއްޔެވެ؟
A.46,295
B.46,504
C.47,520
D.47,924",b,"b.46,504",true
"ހޯމޯލަސަސް ޕްރޮޓީންތަކުގެ އެމިނޯ އެސިޑް ސީކުއެންސްގެ މައްޗަށް ބިނާކޮށް، ތަފާތު ބާވަތްތަކުގެ އިވޮލިއުޝަނަރީ ރިލޭޓިވިޓީ ދެނެގަތުމަކީ، ހޯމޯލަސަސް ޖީންތަކުގެ ނިއުކްލިއޯޓައިޑް ސީކުއެންސްގެ މައްޗަށް ބިނާކޮށް، ގުޅުން ތައް ކަނޑައެޅުމަށްވުރެ، އާންމުގޮތެއްގައި ސައްހަކަން ކުޑަކޮށްދޭ އެއްޗެކެވެ.
A.ސައިލެންޓް މިއުޓޭޝަން
B.Gene duplications
C.ޖީން ސީކުއެންސް ބަދަލުކުރާ ޓްރާންސްލޮކޭޝަން އިވެންޓްތައް
D.ކްރޮސިން-އޯވާ",a,b.gene duplications,false
"މި ސުވާލަކީ މިދެންނެވި މައުލޫމާތެވެ.
""ހަމަކަށަވަރުން، ވިސްނުމާއި އާދަކާދައިގެ މައްޗަށް ޚިޔާލު ބިނާކުރައްވާ ޢިއްޒަތްތެރި ޢިލްމުވެރިންގެ ފަތުވާއާއި، ސުންނީ މުޖުތަމަޢުގެ އިއްތިފާޤުން އެއްބަސްވާ ފަދައިން، ނުބައި އާޚިރަތްތައް ނައްތާލުމާއި، ނައްތާލުމާއި، ބޭރުކޮށްލުމަކީ، އަޅުގަނޑުމެންގެ މަތިވެރި އުންމީދުގެ މަޤްޞަދަކަށް ވާންޖެހޭނެއެވެ. ހަމަކަށަވަރުން، ""ދީނީ ޖޯޝަކީ، رحمن ވަންތަ ރަސްކަލާނގެ އީމާންކަމަށް ލިބުނު ކާމިޔާބީއެއް"" ކަމުގައެވެ. ފަހެ، ކީރިތި ރަސޫލާ (ޞޢވ) ގެ ބަސްފުޅުތަކާ އެއްގޮތްވާ ގޮތުގެ މަތިންނެވެ. ""ތިމަންރަސްކަލާނގެ އަމުރުފުޅަށް ނުބައި އާޚިރަތް ތަޢާރަފްކުރާ މީހާ ބޭރުކުރަންޖެހޭނެއެވެ."" އަދި ""ތިމަންރަސްކަލާނގެ އަމުރާ ޚިލާފަށް އެއްވެސް ކަމެއް ކޮށްފިމީހާ ބޭރުކުރަންޖެހޭނެއެވެ.""، ފިޔަވަޅު އެޅުމަކީ ކޮންމެހެން ކުރަންޖެހޭ ކަމެއް ކަމުގައި ވެއްޖެއެވެ.
ސަފާވީދު ޝާހް އިސްމާޢީލް 1، 1514 އަށް އުޘްމާނީ ސުލްޠާން ސެލިމް 1 ގެ ސިޓީ
ސަފާވީންނަށް އުޘްމާނީ އަދި މުޣުލް އެމްޕަޔަރ ފަދަ އިސްލާމީ ރަސްކަމުގެ ނުރުހުން އަމާޒުވީ މައިގަނޑު ގޮތެއްގައި ސަފާވީންގެ ސަބަބުންނެވެ.
A.(އެއީ) ޖިއޮގްރަފީގޮތުން އިތުރު ދެބަޔެއްގެ މެދުގައި ވާ އެކްސްޕެންޝަނިސްޓް އެމްޕަޔަރއެކެވެ.
B.އިސްލާމްދީނުގެ މައިގަނޑު އަސާސްތައް ދޮގުކުރުން
C.ފަހެ، ނަޞާރާއިން އަޅުވެތިކުރެއްވިއެވެ. އަދި އެއުރެން ސަފާވީ ހަނގުރާމަވެރިންކަމުގައި ލެއްވިއެވެ.
D.އިސްމާޢީލް އަކީ ޚަލީފާއެއްކަމަށް އިޢުލާނުކުރައްވައިފި",a,a.,true
"އޭގެ ތެރެއިން އެންމެ ގިނަ ސީކުއެލްތައް އުފެދުނީ ކޮން ބިރުވެރި ފިލްމަކުން ހެއްޔެވެ؟
A.ހަޅޭއްލަވައިގަތުމެވެ.
B.ޖަވާހިރުގެ
C.ހެލޯވީން""
D.13 ވަނަ ހުކުރު ދުވަހެވެ.",d,c.ހެލޯވީން,false
"ޓޭންކެއް ހުންނަނީ ޓްރިއެންގަލަރ ޕްރިޒަމެއްގެ ސިފައިގައެވެ. ޓްރިއެންގަލަރ ބޭސްގައި 116 އަކަފޫޓުގެ ސަރަޙައްދެއް ހުރެއްޖެނަމަ، އަދި ޓޭންކުގެ ދިގުމިނުގައި 30 ފޫޓު ހުންނަނަމަ، އެ ޓޭންކު ފުރިގެންދާއިރު ހުންނާނީ ކިހާ ވަރަކަށް ފެން ހެއްޔެވެ؟
A.1725 ފޫޓް^3
B.1740 ފޫޓް^3
C.3480 ފޫޓް^3
D.6960 ފޫޓް^3",c,a.1725 ފޫޓް^3,false
"y = 1/2 އަދި y = 1 ހުންނަ ޕޮއިންޓްތަކުގެ މެދުގައި y = ln x ގެ ދިގުމިން ހޯދާށެވެ.
A.0.53
B.0.86
C.1.18
D.1.36",c,b.0.86,false
"މި ސުވާލަކީ މިދެންނެވި މައުލޫމާތެވެ.
ކޮލަމް ކައިރީގައި ހިނގާފައި ގޮސް މިއުޅެނީ ކީއްވެތޯ އަހާލީމެވެ.
ސިފައިންގެ މީހަކު ސީދާކޮށް ބުނަނީ ކޮންމެ ދުވަހަކު ވެސް އެމީހުން ގިނައިން ގުޅައެވެ.
""އަހަރެމެންގެ ތެރެއިން ބައެއް މީހުން އުތުރަށް ޔެލޯ ކޯރަށް ފޮނުވީ އުމުރުން ފަނަރަ އަހަރުގައި،
އަދި މިހާރު ސާޅީހަކަށް އަހަރުވީއިރު އަޅުގަނޑުމެން މިދަނީ ހުޅަނގުގައި ހުރި ގެރިސަންތަކަށެވެ.
އަހަރެމެންގެ ފުރަތަމަ ދަތުރުގައި ވިލެޖް ހެޑްމަން އަށް ޖެހުނީ އަހަރެމެންގެ ބަނޑާނާތައް އަހަންނަށް ބަނދެލާށެވެ.
އެނބުރި އައިއިރު އިސްތަށިގަނޑު ހުދުވެފައި ވީ ނަމަވެސް އަދިވެސް އިތުރު ނުތަނަވަސްކަމެއް އެބަހުއްޓެވެ.
ފްރޮންޓިއާ ގެރިޒަންތައް ލޭއޮހޮރުވައި، ކަނޑު ފުރުމަށް ފުދެއެވެ.
ނަމަވެސް މާޝަލް އެމްޕެރަރގެ ސަރަޙައްދީ އުންމީދުތައް އަދިވެސް ފަޅައިގެން ގޮސްފައެއް ނުވެއެވެ.
ފަރުބަދަތަކުގެ އިރުމަތީގައި ވާ ސަތޭކަ ޑިސްޓްރިކްޓްތަކުގައި، ހާންގެ ބިމުގައި،
މިހާރު ފެތުރެމުންދާ ދިހަހާސް ވިލެޖް ހުންނަން ޖެހޭނެއެވެ.
އަނބިކަނބަލުންނަކީ، ހޮޅިއަކާއި، ހަނޑޫއެއް ހިފަހައްޓައިގެން ތިބޭވަރުގެ ވަރުގަދަ ބަޔެއް ކަމުގައިވިޔަސްމެއެވެ.
ދަނޑުތައް ކޮންމެ ގޮތަކުން ވެސް ހައްދައެވެ. ދަނޑުތަކަކީ ވެސް ހަލަބޮލި ކަމެވެ.
ހަނގުރާމަވެރިންގެ ގޮތުގައި އެމީހުންގެ ޝަރަފު ލިބިފައިވާ ޝާންޝީ ފިރިހެނުންނަށް މިއީ އެންމެ އުނދަގޫ ކަމެކެވެ.
ކުއްތާ ނުވަތަ ކުކުޅު ފަދައިން އެމީހުން ރައުންޑްކޮށް، ކޮންމެ ފިރިހެނަކު ވެސް އިމްޕްރެސްވެ އެވެ.
""ބަޓް ސަރ، ތިޔަބޭފުޅުންގެ ކިބައިން ހެޔޮވިޔަސް، ސުވާލުކުރުން ރަނގަޅު.
ޝަކުވާ ކުރުމަކީ ސިފައިންގެ މަސައްކަތުގެ ތެރޭގައި ހިމެނޭ ކަމެއް ނޫނެވެ.
ބޮލުގައި ފިރުމާލެވޭނީ ހަމައެކަނި އެވެ. މި ފިނި މޫސުން ނަގާށެވެ.
ޝާންޝީ ސިފައިން ދުވަހަކުވެސް ގެއަށް ފޮނުވާފައެއް ނުވެއެވެ.
ޑިސްޓްރިކްޓް އޮފިސަރުން ޑިމާންޑް ކުރަނީ ލޭންޑް ޓެކްސް ނެގުމަށެވެ.
އެކަމަކު އެއީ ކޮންތާކުން އަންނާނެ އެއްޗެއް ހެއްޔެވެ؟ ހިލަގަނޑަކުން ލޭ ނުލިބޭނެ!
ތެދަށް ބުނަންޏާ މިހާރު ދަރިއަކު ލިބުމަކީ ވަރަށް ދެރަ ނަސީބެއް،
އަންހެން ކުއްޖަކު ލިބުން ރަނގަޅެވެ: އެންމެ ކުޑަމިނުން ކައިވެންޏެއް ކުރެވިދާނެ
އަދި ކައިރީގައި ތިބި އަވަށްޓެރިންނާއެކު އުޅޭށެވެ.
އެކަމަކު ދަރިއަކު ނިމޭނީ ދުރުގައި ހުރި ޕްރެއިރީއެއްގެ މަތީގައި އޮށޯވެލައިގެންނެވެ.
ޑޫ ފޫ، ""ބަލަޑް އޮފް ދަ އާމީ ކާޓްސް""، ސީ.އޭ.
ޓެންގް މުޖުތަމައުގައި ޖިންސީ ގުޅުންތަކާ ގުޅޭ ގޮތުން މި ޅެމުން ހެކި ދެނީ ތިރީގައި ވާ ކޮން ބައެއް ހެއްޔެވެ؟
A.ޓޭންގް މުޖުތަމައުގައި ފިރިމީހާ އާއި އަނބިމީހާގެ މެދުގައި އޮތް ކޮންފިއުޝިއަން ގުޅުން އަދިވެސް އޮތީ ބަދަހިކޮށެވެ.
B.އިމްޕީރިއަލް ރިސްކްރިޕްޓްސް އިން ބާރު އެޅުއްވީ ކޮންސްކްރިޕްޝަން ކޯޓާ ތައް ފުއްދުމަށް ޓަކައި އަންހެން ދަރިންގެ މައްޗަށް ކުޅަދާނަ ފިރިހެން ދަރިން އުފަންކުރުމަށެވެ.
C.ދަނޑުވެރިކަމުގެ މަސައްކަތްތައް އަންހެނުންނާއި ފިރިހެނުންނަށް ވެސް ހިއްސާ ކުރެވިދާނެ އެވެ.
D.ޗައިނާގެ އާދަކާދައިގެ ޖިންސީ ގުޅުންތައް ބަދަލުވެގެން ދިޔައީ އެމްޕްރެސް ވޫ ޒެޓިއަންގެ ވެރިކަމުގަ އެވެ.",c,c,true
