Question,CorrectAnswer,GivenAnswer,Correct
"އެކްޓަރު އެންޓޯނިއޯ ބަންޑޭރާގެ މާދަރީ ބަހަކީ ކޮބައި ހެއްޔެވެ؟
A.ސްޕެނިޝް
B.ރަޝިއަން
C.ޖަރުމަން
D.ފަރަންސޭސި",A,އެކްޓަރު އެންޓޯނިއޯ ބަންޑޭރާގެ މާދަރީ ބަހަކީ ސްޕެނިޝް އެވެ. އޭނާ އުފަންވެފައިވަނީ ސްޕެއިންގެ މަލާގާ ސިޓީގައެވެ.,A
"މިދެންނެވި ޝަރުޠުތަކުގެ ހުށަހެޅުންތަކުގެ ކުރީބައި ދެނެގަންނާށެވެ: މަކުނުން ފުރަތަމަ މެޗު ން މޮޅުވަނީ އާރޑްވާކްސް ނުވަތަ ޗިޕްމަންކްސް އިން ފުރަތަމަ މެޗުން މޮޅުނުވެއްޖެނަމައެވެ.
A.އާޑްވާކްސް އަށް ފުރަތަމަ މެޗުން މޮޅެއް ނުލިބެ އެވެ.
B.ފުރަތަމަ މެޗުން މަކުނު މޮޅުވެއްޖެ.
C.ޗިޕްމަންކްސް އަށް ފުރަތަމަ މެޗުން މޮޅެއް ނުލިބެ އެވެ.
D.އާޑްވާކްސް ނުވަތަ ޗިޕްމަންކްސް އަށް ފުރަތަމަ މެޗުން މޮޅުނުވެ އެވެ.",B,"ޝަރުޠުގެ ކުރީބައި ނުވަތަ ހުށަހެޅުމަކީ: ""އާރޑްވާކްސް ނުވަތަ ޗިޕްމަންކްސް އިން ފުރަތަމަ މެޗުން މޮޅުނުވެއްޖެނަމައެވެ.""

މިއީ ހުށަހެޅުމް D އާ އެއްގޮތް ބައެކެވެ: ""އާޑްވާކްސް ނުވަތަ ޗިޕްމަންކްސް އަށް ފުރަތަމަ މެޗުން މޮޅުނުވެ އެވެ.""",D
" މި މާކެޓިންގ އެންޑް ކޮމިއުނިކޭޝަން ޓޫލް މެދުވެރިކޮށް ކަސްޓަމަރުންނަށް ޕްރޮޑަކްޓެއް/ޚިދުމަތެއް ގަތުމަށް ބާރުއެޅުމުގެ ގޮތުން ސީދާ ހިތްވަރެއް ނުވަތަ އިނާޔަތެއް ލިބިގެންދެއެވެ.
A.އިޝްތިހާރު ކުރުން.
B.ޕަބްލިކް ރިލޭޝަންސް.
C.ސޭލްސް ޕްރޮމޯޝަން.
D.ޑައިރެކްޓް މާކެޓިން ގއ.",C,"ތިޔަ ދެއްވާފައިވާ މަޢުލޫމާތަށް ބަލާއިރު، ކަސްޓަމަރުންނަށް ޕްރޮޑަކްޓެއް ނުވަތަ ޚިދުމަތެއް ގަތުމަށް ސީދާ ހިތްވަރެއް ނުވަތަ އިނާޔަތެއް ލިބިގެންދާ މާކެޓިންގ އަދި ކޮމިއުނިކޭޝަން ޓޫލަކީ ""ސޭލްސް ޕްރޮމޯޝަން"" އެވެ. އެހެންކަމުން، ސައްޙަ ޖަވާބަކީ: C. ސޭލްސް ޕްރޮމޯޝަން.",C
"1999 ވަނަ އަހަރު ރިލީޒްކުރި ""މެގްނޯލިއާ"" ގެ ސެޓަކީ ކޮން ސްޓޭޓެއްގައި ހެއްޔެވެ؟
A.ކެލިފޯނިއާ
B.ސައުތު ކެރޮލީނާ
C.ޖޯޖިޔާ
D.ޓެކްސަސް",A,"ފިލްމު ""މެގްނޯލިއާ"" ގެ ޝޫޓިންގ ހިނގާފައިވަނީ ކެލިފޯނިއާގައި ކަމަށް ވިކިޕީޑިއާގައި ބަޔާންކޮށްފައިވެއެވެ. ފިލްމުގެ ގިނަ މަންޒަރުތައް ޝޫޓްކޮށްފައިވަނީ ސާން ފަރނޭންޑޯ ވެލީގައި ކަމަށް ވެއެވެ. އެހެންކަމުން، ސުވާލުގެ ޖަވާބަކީ (A) ކެލިފޯނިއާ އެވެ.",A
"ނެދަލޭންޑްސްގެ ރަސްމީ ބަހަކީ ކޮބައި ހެއްޔެވެ؟
A.ޑެނިޝް
B.ސްވިޑިޝް
C.ޖަރުމަން
D.ޑަޗް",D,"ނެދަލޭންޑްސްގެ ރަސްމީ ބަހަކީ ޑަޗް ބަހެވެ. ޖަވާބަކީ D. ޑަޗް އެވެ.

ނެދަލޭންޑްސް އަކީ ހޮލެންޑް ނުވަތަ ނެދަލޭންޑްސް ކިޔާ ޔޫރަޕްގެ ގައުމެކެވެ. މި ގައުމުގައި ވާހަކަ ދައްކަނީ ޑަޗް ބަހުންނެވެ. ޑަޗް އަކީ ޖަރުމަނިކް ބަސްތަކުގެ ތެރެއިން ބަހެކެވެ. ޑަޗް ބަހުން ވާހަކަ ދައްކާ އެހެން ގައުމުތަކުގެ ތެރޭގައި ބެލްޖިއަމް، ސުރިނާމް، އަދި ކެރިބިއަން ގައުމުތައް ހިމެނެއެވެ.",D
"ރާއްޖެއިން ބޭރުގައި މިނިސްޓަރ އޮފް ކަންޓްރީ އެކްސް އިން ގާނޫނާ ޚިލާފަށް މީހަކު މެރުމަކީ ޖުރޭ އިމްޕެރީ ނުވަތަ ޖުރޭ ގެސްޓިނިސްގެ އަމަލެއް ހެއްޔެވެ؟
A.އެފަދަ އަމަލަކީ ޢާންމު ޢަމަލެއް (ޖުރޭ އިމްޕެރީ)
B.މިފަދަ ޢަމަލުތަކުން ދުވަހަކުވެސް އިމިއުނިޓީ އެއް ނުލިބޭ
C.އެފަދަ އަމަލަކީ އަމިއްލަ އަމަލެއް (ޖުރޭ ގެސްޓިސިސް)
D.މިފަދަ ޢަމަލަކީ ޢާންމު ޢަމަލެއް ނަމަވެސް އިމިއުނިޓީގެ ސަބަބުން ހިމާޔަތްކުރެވިފައިވާ ޢަމަލެއް",C,"D. މިފަދަ ޢަމަލަކީ ޢާންމު ޢަމަލެއް ނަމަވެސް އިމިއުނިޓީގެ ސަބަބުން ހިމާޔަތްކުރެވިފައިވާ ޢަމަލެއް

ބޭރު ޤައުމެއްގައި މިނިސްޓަރަކު ގާނޫނާ ޚިލާފަށް މީހަކު މެރުމަކީ ޖުރޭ އިމްޕެރީ ނުވަތަ ޢާންމު ޢަމަލެއް ކަމުގައި ބެލެވެއެވެ. އެހެންނަމަވެސް، ޑިޕްލޮމެޓިކް އިމިއުނިޓީގެ ދަށުން މިފަދަ ޢަމަލުތައް ހިމާޔަތްކުރެވިފައިވެއެވެ. އެހެންކަމުން، މިނިސްޓަރަކު ކުރާ މިފަދަ ޢަމަލަކީ ޢާންމު ޢަމަލެއް ނަމަވެސް، އިމިއުނިޓީގެ ސަބަބުން ޤާނޫނީ ގޮތުން ހިމާޔަތްކުރެވިފައިވާ ޢަމަލެއް ކަމުގައި ބެލެވެއެވެ.",D
"ޢާންމުގޮތެއްގައި ޑޭޓް ރޭޕާ އެއްގޮތްވަނީ މިދެންނެވި ސިފަތަކުގެ ތެރެއިން ކޮން ސިފައެއް ހެއްޔެވެ؟
A.ބާރުގެ ބޭނުން ކުރުން
B.ކުރިން ރޭވިފައިވާ
C.ޖިންސީ ފުރައްސާރަ ކުރުން
D.ހަތިޔާރު ބޭނުންކުރުން ހިމެނެއެވެ.",C,ޢާންމުގޮތެއްގައި ޑޭޓް ރޭޕާ އެއްގޮތްވަނީ ކުރިން ރޭވިފައިވާ ސިފައާއެވެ. ޑޭޓް ރޭޕަކީ ޑޭޓަކަށް ނުވަތަ ސޯޝަލް ގެދަރިންގއަކަށް ދިޔުމަށްފަހު، އެކަކު އަނެކަކަށް މަސްތުވާތަކެތި ނުވަތަ ބޯތަކެތި ދީގެން ހޭނެތްކޮށް ޖިންސީ ގޮތުން ބޭނުންކުރުމެވެ. މިފަދަ ހާދިސާތަކުގައި ބާރުގެ ބޭނުންކުރުމާއި ހަތިޔާރު ބޭނުންކުރުން ހިމެނުން ޢާންމެއް ނޫނެވެ. އެހެންކަމުން، ޑޭޓް ރޭޕާ އެންމެ ގުޅޭ ސިފައަކީ ކުރިން ރޭވިފައިވުމެވެ.,D
"އޭގެ ތެރެއިން އެންމެ ގިނަ ސީކުއެލްތައް އުފެދުނީ ކޮން ބިރުވެރި ފިލްމަކުން ހެއްޔެވެ؟
A.ހަޅޭއްލަވައިގަތުމެވެ.
B.ޖަވާހިރުގެ
C.ހެލޯވީން""
D.13 ވަނަ ހުކުރު ދުވަހެވެ.",D,"ތިޔަ ސުވާލުގެ ޖަވާބަކީ C. ""ހެލޯވީން"" އެވެ.

""ހެލޯވީން"" އަކީ 1978 ވަނަ އަހަރު ނެރުނު ބިރުވެރި ފިލްމެކެވެ. މި ފިލްމުން ފެށިގެން ގިނަ ސީކުއެލްތަކެއް އުފެދިފައިވެއެވެ. މިހާތަނަށް ""ހެލޯވީން"" ފިލްމުގެ 11 ސީކުއެލް ނެރެފައިވެއެވެ. އޭގެ ތެރޭގައި ""ހެލޯވީން II"" (1981)، ""ހެލޯވީން H20: 20 އަހަރު ފަހުން"" (1998)، އަދި ""ހެލޯވީން"" (2018) ހިމެނެއެވެ. 

އެހެންކަމުން، ލިސްޓުގައިވާ ފިލްމުތަކުގެ ތެރެއިން އެންމެ ގިނަ ސީކުއެލްތައް އުފެދިފައިވަނީ ""ހެލޯވީން"" ފިލްމުންނެވެ.",C
"އިންޑިޔާއިން އެމެރިކާއަށް ބަދަލުވުމަށް ވިސްނާއިރު ރިވާއަށް ""ޕުލް"" ފެކްޓަރެއްގެ ގޮތުގައި ބެލެވޭނީ މިދެންނެވި ސަބަބުތަކުގެ ތެރެއިން ކޮން ކަމެއް ހެއްޔެވެ؟
A.ނިކަމެތި ފަޤީރުކަން
B.ރަނގަޅު ވަޒީފާއަކާއި ބޮޑު އުޖޫރައެއް
C.އިންޑިޔާގެ ޒާތީ ނިޒާމު
D.އޭނާގެ އަވަށުގައި ހިނގި ހަމަނުޖެހުން",B,"ރިވާ އިންޑިޔާއިން އެމެރިކާއަށް ބަދަލުވުމަށް ވިސްނާއިރު، ""ޕުލް"" ފެކްޓަރެއްގެ ގޮތުގައި ބެލެވޭނީ B. ރަނގަޅު ވަޒީފާއަކާއި ބޮޑު އުޖޫރައެއް ލިބުމުގެ ފުރުޞަތު ކަމަށް ފެނެއެވެ. އެހެނީ، ރަނގަޅު ވަޒީފާއަކާއި ބޮޑު އުޖޫރައެއް ލިބުމުގެ ފުރުޞަތަކީ، ގިނަ ބަޔަކު އެހެން ގައުމަކަށް ބަދަލުވުމަށް ވިސްނާ މައިގަނޑު ސަބަބެވެ. އެމެރިކާ ފަދަ ތަރައްޤީވެފައިވާ ގައުމެއްގައި، ރަނގަޅު ވަޒީފާތަކާއި ބޮޑެތި އުޖޫރަތައް ލިބުމުގެ ފުރުޞަތު ބޮޑުކަމުން، އެފަދަ ގައުމަކަށް ބަދަލުވުމަކީ ގިނަ ބަޔަކު ކުރާ ކަމެކެވެ.",B
"އިންގްލެންޑާއި އިޒްރޭލު ފަދަ ގައުމުތަކުގެ ސިޔާސީ ޕާޓީތަކާ އަޅާ ބަލާއިރު، އެ ދެ ގައުމުގައި ވެސް މަލްޓިޕާޓީ ސިސްޓަމްތައް އޮންނަ އިރު، އެމެރިކާގެ ސިޔާސީ ޕާޓީތަކަކީ
A.އިންތިޚާބުގެ ނަތީޖާއަށް ނުފޫޒު ފޯރުވުމުގެ ޝައުޤުވެރިކަން ކުޑަވުން
B.ސިޔާސީ ފިކުރުތައް ދެމެހެއްޓެނިވި ގޮތެއްގައި ދެނެގަނެވިފައި ނުވާކަން އެނގެއެވެ.
C.ސިޔާސީ ސަޕޯޓަރުންގެ އަތުން ފައިސާ ހޯދުމުގައި ނުފޫޒު ކުޑަ
D.އެބޭފުޅުންގެ މުޅި ދާއިރާތަކުގެ ލަނޑުދަނޑިތައް ދައްކުވައިދެއްވުން މާ ރަނގަޅެވެ.",B,"B. ސިޔާސީ ފިކުރުތައް ދެމެހެއްޓެނިވި ގޮތެއްގައި ދެނެގަނެވިފައި ނުވާކަން އެނގެއެވެ.

އިންގްލެންޑާއި އިޒްރޭލު ފަދަ ގައުމުތަކުގައި ސިޔާސީ ޕާޓީތައް ގިނަ އަދި އެ ޕާޓީތަކުގެ ސިޔާސީ ފިކުރުތައް ވަރަށް ސާފުކޮށް ދެނެގަނެވިފައިވާ އިރު، އެމެރިކާގައި ހަމައެކަނި ދެ ޕާޓީ އޮވެ، އެ ޕާޓީތަކުގެ ސިޔާސީ ފިކުރުތައް ދެމެހެއްޓެނިވި ގޮތެއްގައި ދެނެގަނެވިފައި ނުވާކަން ފާހަގަކުރެވެއެވެ. އެހެންކަމުން، ދެވިފައިވާ ޚިޔާރުތަކުގެ ތެރެއިން، އެމެރިކާގެ ސިޔާސީ ޕާޓީތަކާ ބެހޭގޮތުން އެންމެ ރަނގަޅަށް ބަޔާންކޮށްދެނީ ""ސިޔާސީ ފިކުރުތައް ދެމެހެއްޓެނިވި ގޮތެއްގައި ދެނެގަނެވިފައި ނުވާކަން އެނގެއެވެ"" މި ޖުމްލައެވެ.",B
"ޓޭންކެއް ހުންނަނީ ޓްރިއެންގަލަރ ޕްރިޒަމެއްގެ ސިފައިގައެވެ. ޓްރިއެންގަލަރ ބޭސްގައި 116 އަކަފޫޓުގެ ސަރަޙައްދެއް ހުރެއްޖެނަމަ، އަދި ޓޭންކުގެ ދިގުމިނުގައި 30 ފޫޓު ހުންނަނަމަ، އެ ޓޭންކު ފުރިގެންދާއިރު ހުންނާނީ ކިހާ ވަރަކަށް ފެން ހެއްޔެވެ؟
A.1725 ފޫޓް^3
B.1740 ފޫޓް^3
C.3480 ފޫޓް^3
D.6960 ފޫޓް^3",C,"ޓްރިއެންގަލަރ ޕްރިޒަމެއްގެ ވޮލިއުމް ހިސާބުކުރެވެނީ ބޭސްގެ ސަރަޙައްދު ގުނަކުރަނީ ޕްރިޒަމްގެ އުސްމިނުންނެވެ. އެހެންކަމުން:

* ބޭސްގެ ސަރަޙައްދު = 116 އަކަފޫޓު
* ޕްރިޒަމްގެ އުސްމިން (ޓޭންކުގެ ދިގުމިން) = 30 ފޫޓު

ވޮލިއުމް = ބޭސްގެ ސަރަޙައްދު × ޕްރިޒަމްގެ އުސްމިން
        = 116 × 30
        = 3480 ކިއުބިކް ފޫޓު

ހަމައެހެންމެ، 1 ކިއުބިކް ފޫޓަކީ 7.48 ގެލަނެވެ. އެހެންކަމުން، ޓޭންކުގައި ހުންނާނީ:
3480 × 7.48 = 26,030.4 ގެލަން ފެނެވެ.

ސުވާލުގައި ދެވިފައިވާ ޖަވާބުތަކުގެ ތެރެއިން ރަނގަޅު ޖަވާބަކީ: C. 3480 ފޫޓް^3.",C
"އިންޑަކްޓަރެއްގައި އިންޑިއުސްކުރާ ވޯލްޓޭޖް ރަމްޒުކޮށްދެނީ،
A.އޭގެ އިންޑަކްޓެންސްގެ އުފެއްދުންތަކާއި، އޭގެ ޒަރިއްޔާއިން ކަރަންޓް ގެނައުމެވެ.
B.އޭގެ އިންޑަކްޓެންސް އާއި ކަރަންޓް ގެ ރޭޝިއޯ އޭގެ ޒަރިއްޔާއިން.
C.އޭގެ ޒަރިއްޔާއިން ކަރަންޓްގެ ރޭޝިއޯ އާއި އޭގެ އިންޑަކްޝަން.
D.އޭގެ އިންޑަކްޓެންސްގެ ޕްރޮޑަކްޓާއި އޭގެ ޒަރިއްޔާއިން ކަރަންޓް ބަދަލުވާ ރޭޓް.",D,"ޖަވާބަކީ D. އިންޑަކްޓަރެއްގައި އިންޑިއުސްކުރާ ވޯލްޓޭޖް ރަމްޒުކޮށްދެނީ އޭގެ އިންޑަކްޓެންސްގެ ޕްރޮޑަކްޓާއި އޭގެ ޒަރިއްޔާއިން ކަރަންޓް ބަދަލުވާ ރޭޓުންނެވެ.

އިންޑަކްޓަރެއްގައި އިންޑިއުސްކުރާ ވޯލްޓޭޖް (V) ގުޅިފައިވަނީ އޭގެ އިންޑަކްޓެންސް (L) އާއި ކަރަންޓް ބަދަލުވާ ރޭޓް (di/dt) އާއެވެ. މިގުޅުން ބަޔާންކުރެވިފައިވަނީ ފެރާޑޭގެ ޤާނޫނުގައެވެ:

V = L * (di/dt)

މިގޮތުން، އިންޑަކްޓަރެއްގައި އިންޑިއުސްކުރާ ވޯލްޓޭޖް ހިސާބުކުރެވެނީ އޭގެ އިންޑަކްޓެންސް އާއި ކަރަންޓް ބަދަލުވާ ރޭޓުގެ ޕްރޮޑަކްޓުންނެވެ. އެހެންކަމުން، ޖަވާބަކީ D އެވެ.",D
