Question,CorrectAnswer,GivenAnswer,Correct
"کسب و کارها به دلیل خواسته های _________، به منظور شناسایی ________، بهبود ___________ و تشویق _________ و ___________
A.ذینفعان، ریسک ها، مدیریت ذینفعان، پاسخگویی، شفافیت
B.ذینفعان، پاسخگویی، شفافیت، خطرات، مدیریت ذینفعان
C.ذینفعان، پاسخگویی، خطرات، ذینفعان، مدیریت ذینفعان
D.ذینفعان، مدیریت ذینفعان، شفافیت، خطرات، پاسخگویی",a,,true
�ته شده است. من اطمینان دارم که کنگره به طور مستقیم با این مسئولیت ها روبرو خواهد شد. ""
رئیس جمهور هری ترومن، 1947
ایده های بیان شده در متن بالا به طور مستقیم منعکس کننده کدام یک از پیوستگی های زیر در تاریخ ایالات متحده است؟
A.بحث در مورد رابطه بین کنگره و رئیس جمهور.
B.بحث در مورد استفاده از نیروی نظامی در شرایط ناپایدار.
C.بحث در مورد نقش ایالات متحده در امور جهانی.
D.بحث در مورد نقش مناسب احزاب سیاسی.",c,,false
"طول منحنی را پیدا کنید y = ln x بین نقاطی که y = 1/2 و y = 1.
A.0.53
B.0.86
C.1.18
D.1.36",c,,true
"یک بیمار از شکستگی گردن با اسیب به نخاع در سطح مهره ششم گردن رنج می برد.
A.انها بدون حمایت از زندگی قادر به نفس کشیدن نخواهند بود.
B.انها فقط می توانند به ارامی نفس بکشند.
C.پیش بینی تاثیر ان بر تنفس غیرممکن است.
D.تنفس تحت تاثیر قرار نخواهد گرفت.",b,,false
"انرژی ازاد شده از تجزیه فسفات های با انرژی بالا، ATP و فسفوکراتین، می تواند حداکثر ورزش را برای حدود:
A.1-2 ثانیه.
B.5-10 ثانیه
C.30-40 ثانیه.
D.50-60 ثانیه.",b,,true
"تحقیقات گارسیا و کولینگ در مورد بیزاری اموخته شده نشان داد که کدام یک از جفت های UCS و CS زیر قدرتمندترین و سریع ترین هستند؟
A.انجام یک کار و دریافت پاداش غذایی
B.تهوع و غذا یا نوشیدنی
C.حرکت و شوک
D.مجازات ها و پاداش ها",b,,true
"خودبستگی باقی مانده منفی نشان داده شده است که کدام یک از زیر است؟
A.یک الگوی چرخه ای در باقی مانده ها
B.یک الگوی متناوب در باقی مانده ها
C.یک تصادف کامل در باقی مانده ها
D.باقی مانده هایی که همگی نزدیک به صفر هستند",b,,false
"کدام یک از رشته های بیت زیر را نمی توان با یک عبارت منظم توصیف کرد؟
A.همۀ رشتههای بیتی که تعداد صفر انها چند برابر پنج است
B.تمام رشته های بیت با صفر شروع می شوند و با یک به پایان می رسد
C.همۀ رشتههای بیت با تعداد مساوی صفر
D.همه رشته های بیتی با انهایی که بیشتر از صفر هستند",d,,true
"بیانیه 1 | در یک گروه (ab)^{-2} = b^{-2}a^{-2}. بیانیه 2 | در یک گروه (ab)^n = a^nb^n.
A.درست است، درست است
B.نادرست، نادرست
C.درست، غلط
D.نادرست، درست",b,,true
"دانش اموزان در حال انجام یک تمرین جداسازی رنگدانه گیاهی هستند که نیاز به استفاده از یک محفظه کروماتوگرافی بسته با مقدار کمی استون در پایین محفظه دارد. هشدارهای ایمنی برای استون شامل این بیانیه است که چشم و پوست تحریک کننده است و بخارات قابل اشتعال دارد. از موارد زیر که احتیاط ایمنی باید دانش اموزان را در هنگام انجام تمرین؟
A.قرار دادن دستکش های مقاوم در برابر اتش برای حمل محفظه به یک هود دود اگر استون اتش بگیرد
B.قرار دادن محفظه در یک کابینت بسته و تیره برای مدت زمان جداسازی رنگدانه
C.پوشیدن دستکش های چرمی و پوشاندن بینی و دهان با ماسک ذرات
D.پوشیدن عینک ایمنی و دستکش نیتریل و بسته نگه داشتن تمام ظروف استون",d,,true
"جهش هایی که باعث اکوندروپلازی می شوند، تاثیری را ایجاد می کنند که می تواند به صورت زیر طبقه بندی شود:
A.غالب منفی
B.سود از عملکرد.
C.haploinsiciency.
D.از دست دادن عملکرد.",b,,true
"فیلم ماگنولیا در سال 1999 در چه وضعیتی قرار دارد؟
A.کالیفرنیا
B.کارولینای جنوبی
C.گرجستان
D.تگزاس",a,,true
"این سوال به اطلاعات زیر اشاره دارد.
در واقع، همانطور که فتواهای [دانشمندان برجسته] که نظر خود را بر اساس عقل و سنت به طور یکسان و اجماع جامعه سنی توافق دارند که تعهد باستانی نابودی، نابودی و اخراج نواوری شیطانی باید هدف ارمان متعالی ما باشد، زیرا شور و شوق مذهبی پیروزی برای ایمان خدای رحمان است». سپس، مطابق با سخنان پیامبر(ص) ""هر کسی که نواوری شیطانی را به نظم ما معرفی می کند باید اخراج شود"" و ""هر کسی که کاری علیه نظم ما انجام دهد باید اخراج شود""، اقدام ضروری و ضروری شده است.
نامه سلطان عثمانی سلیم یکم به شاه صفوی اسماعیل یکم، ۱۵۱۴
صفویان خشم امپراتوری های اسلامی مانند امپراتوری عثمانی و مغول را در درجه اول به این دلیل که صفویان
A.یک امپراتوری توسعه طلب بودند که از لحاظ جغرافیایی بین دو توسعه طلب دیگر قرار داشتند.
B.رد اصول مرکزی اسلام
C.مسیحیان را به بردگی گرفت و انها را به مبارزان صفوی تبدیل کرد
D.اسماعیل خود را خلیفه اعلام کرد",a,,true
"در صفحه xy، نمودار x^ (log y) = y^log x است
A.ربع اول باز
B.یک منحنی بسته
C.شعاعی در ربع اول باز
D.یک نقطه",a,,true
"حمله مجدد چیست؟
A.هنگامی که مهاجم به یک پیام ارسال شده توسط سیستم پاسخ می دهد
B.حمله ای که به طور مداوم تکرار می شود، کاوش برای ضعف
C.حمله ای که از پیام های خود سیستم استفاده می کند و بنابراین نمی توان از ان دفاع کرد.
D.مهاجم یک پیام ضبط شده را دوباره ارسال می کند و سایت ان را می پذیرد و به نفع مهاجم پاسخ می دهد",d,,true
"مغنطه شخصیت ستایشی یک نوع خاص از
A.مغنطه تصادف
B.معضل کاذب
C.التماس سؤال
D.استدلال دایره ای",a,,true
"این واقعیت که فرکانس جذب مادون قرمز کلرید دوتریوم (DCl) از کلرید هیدروژن (HCl) منتقل می شود، به دلیل تفاوت در انها است.
A.توزیع الکترون
B.لحظه دو قطبی
C.نیروی ثابت
D.کاهش جرم",d,,true
"به نظر می رسد بزرگسالان میانسال بیشتر از بزرگسالان مسن تر یا جوان تر هستند
A.مولد
B.نوروتیک
C.قابل قبول
D.خاص",a,,true
"در یک مدار سری، اگر جریان در یک لامپ 2 A باشد، جریان در لامپ کنار ان است
A.نیمه، 1 A
B.2:00 صبح
C.بستگی به این دارد که کدام لامپ به باتری نزدیکتر است.
D.اطلاعات کافی برای گفتن ندارد",b,,false
"یک عدد، گرد به نزدیکترین هزار، 47000 است. کدام عدد می تواند عددی باشد که گرد شده است؟
A.46,295
B.46,504
C.47,520
D.47,924",b,,true
"پیدا کردن $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,,true
"زبان مادری انتونیو باندراس چیست؟
A.اسپانیایی
B.روسی
C.آلمانی
D.فرانسوی",a,,true
"کدام یک از کشورهای زیر بیشترین CO2 سرانه را در سال 2017 منتشر کرده اند؟
A.ژاپن
B.کانادا
C.روسیه
D.ایران",b,,true
"یک تانک به شکل منشور مثلثی است. اگر پایه مثلثی دارای مساحت 116 فوت مربع باشد و مخزن 30 فوت ارتفاع داشته باشد، مخزن در هنگام پر شدن چقدر اب دارد؟
A.1725 فوت ^ 3
B.1740 فوت ^ 3
C.3480 فوت ^ 3
D.6960 فوت ^ 3",c,,true
"کدام یک از این فیلمهای ترسناک بیشترین دنباله را به وجود اورد؟
A.جیغ بزن
B.اروارهها
C.هالووین
D.جمعه سیزدهم",d,,true
"چرا پارفیت با برابری مخالف است؟
A.او استدلال می کند که یک جامعه نابرابر اجتناب ناپذیر است.
B.او ادعا می کند که با اولویت دادن به نیازهای فقرا، می توانیم برابری را افزایش دهیم.
C.او ادعا می کند که هر یک از ما مسئول فقر ما هستیم.
D.او ایده برابری را به طور کامل رد می کند.",b,,false
"یک پروتون با سرعت اولیه 1.5 × 10 ^ 6 متر بر ساعت حرکت می کند و وارد منطقه ای با میدان مغناطیسی ثابت با قدر 1.5 T می شود. اگر بردار سرعت اولیه پروتون زاویه 30 درجه با میدان مغناطیسی ایجاد کند، سرعت پروتون را پس از ورود به میدان مغناطیسی 4 ثانیه محاسبه کنید.
A.5.0 × 10 ^ 6 متر بر متر بر s
B.7.5 × 10 ^ 6 متر بر متر بر s
C.1.5 × 10 ^ 6 متر بر متر بر s
D.3.0 × 10 ^ 6 متر بر متر بر s",c,,false
