Question,CorrectAnswer,GivenAnswer,Correct
"1999 දී තිරගත වූ මැග්නෝලියා චිත් රපටය තිරගත වන්නේ කුමන ප් රාන්තයකද?
A.කැලිෆෝනියාව
B.දකුණු කැරොලිනා
C.ජෝර්ජියාව
D.ටෙක්සාස්",A,A.කැලිෆෝනියාව,A
�� ලබා දෙයි:
A.වෙළඳ දැන්වීම්.
B.මහජන සම්බන්ධතා.
C.විකුණුම් ප්රවර්ධනය.
D.සෘජු අලෙවිකරණය.",C,D.සෘජු අලෙවිකරණය.,D
"නළු ඇන්ටෝනියෝ බන්ඩෙරාස් මව් භාෂාව කුමක්ද?
A.ස්පාඤ්ඤ භාෂාව
B.රුසියානු භාෂාව
C.ජර්මන් භාෂාව
D.ප්‍රංශ භාෂාව",A,A.ස්පාඤ්ඤ භාෂාව,A
"ඌරු බඩවැල් වලින් සාදන ලද මෙම කෑම වර්ග මොනවාද?
A.haggis
B.chitlins
C.grits
D.chop suey",B,A.haggis,A
"එක් රටක තරඟකාරීත්වය වෙනත් රටවල තරඟකාරීත්වයට කොතරම් දුරට බලපායිද යන්න සඳහා වන යෙදුම කුමක්ද?
A.ජාත්යන්තර වෙළඳාම
B.ගෝලීය ආර්ථික විද්යාව
C.ගෝලීය තරඟය
D.ගෝලීයකරණය",D,C. ගෝලීය තරඟය,C
"නෙදර්ලන්තයේ නිල භාෂාව කුමක්ද?
A.ඩේනිෂ් භාෂාව
B.ස්වීඩන භාෂාව
C.ජර්මන් භාෂාව
D.ලන්දේසි භාෂාව",D,D.ලන්දේසි භාෂාව,D
"ඇකොන්ඩ්රොප්ලාසියාවට හේතු වන විකෘති මගින් වර්ගීකරණය කළ හැකි බලපෑමක් ඇති කරයි:
A.අධිපති ඍණාත්මක.
B.කාර්යය ේ වාසි.
C.හැප්ලොනොෆියුෂන්.
D.ක්රියාකාරීත්වය නැතිවීම.",B,A. අධිපති ඍණාත්මක.,A
"විදේශයන්හි X රටේ අමාත් යවරයා විසින් සිදු කරන ලද නීති විරෝධී මිනීමැරුම ජුරේ ඉම්පෙරි හෝ ජුරේ ජෙස්ටිනිස් ක් රියාවක්ද?
A.එවැනි හැසිරීමක් පොදු ක්රියාවකි (ජුරේ ඉම්පීරි)
B.එවැනි හැසිරීමක් කිසි විටෙකත් ප්රතිශක්තිය ආකර්ෂණය නොකරයි
C.එවැනි හැසිරීමක් පෞද්ගලික ක්රියාවකි (ජුරේ ගෙස්ටිනිස්)
D.එවැනි හැසිරීමක් ප්රසිද්ධ ක්රියාවක් වන නමුත් එය මුක්තියෙන් ආරක්ෂා වේ",C,A. එවැනි හැසිරීමක් පොදු ක්රියාවකි (ජුරේ ඉම්පීරි),A
"K-ගුණයක් හරස්-වලංගු වේ
A.K හි රේඛීය
B.K හි චතුරස්රාකාර
C.K හි ඝන
D.K හි ඝාතීය",A,K-ගුණයක් හරස්-වලංගු වන්නේ එය ඝන (Cubic) විටය. එබැවින් නිවැරදි පිළිතුර C. K හි ඝන වේ.,C
"නැවත ධාවනය කිරීමේ ප්රහාරයක් යනු කුමක්ද?
A.ප්රහාරකයා පද්ධතිය විසින් එවන ලද පණිවිඩයකට පිළිතුරු දෙන විට
B.දිගින් දිගටම පුනරාවර්තනය වන ප්රහාරයක්, දුර්වලතාවයක් සඳහා විමර්ශනය කිරීම
C.පද්ධතියේම පණිවුඩ භාවිතා කරන ප්රහාරයක් සහ ඒ නිසා ආරක්ෂා කළ නොහැක
D.ප්රහාරකයා අල්ලාගත් පණිවිඩයක් නැවත යවන අතර, වෙබ් අඩවිය එහි පිළිගෙන ප්රහාරකයාට පක්ෂව ප්රතිචාර දක්වයි",D,"B.දිගින් දිගටම පුනරාවර්තනය වන ප්රහාරයක්, දුර්වලතාවයක් සඳහා විමර්ශනය කිරීම",B
"________ හඳුනා ගැනීම, ___________ වැඩිදියුණු කිරීම සහ _________ සහ ___________ දිරිගැන්වීම සඳහා _________ ඉල්ලීම් හේතුවෙන් ව්යාපාර සමාජ ගිණුම්කරණයේ නිරත වේ
A.පාර්ශවකරුවන්, අවදානම්, පාර්ශවකරුවන් කළමනාකරණය, වගවීම, විනිවිදභාවය
B.පාර්ශවකරුවන්, වගවීම, විනිවිදභාවය, අවදානම්, පාර්ශවකරුවන් කළමනාකරණය
C.පාර්ශවකරුවන්, වගවීම, අවදානම්, පාර්ශවකරුවන්, පාර්ශවකරුවන් කළමනාකරණය
D.පාර්ශවකරුවන්, පාර්ශවකරුවන් කළමනාකරණය, විනිවිදභාවය, අවදානම්, වගවීම",A,"A. පාර්ශවකරුවන්, අවදානම්, පාර්ශවකරුවන් කළමනාකරණය, වගවීම, විනිවිදභාවය",A
"Find $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",B,"First, simplify the expression inside the multiplication:

\[
-\frac{1}{-3} \cdot \frac{1}{\frac{1}{-3}}
\]

Starting with \(-\frac{1}{-3}\), we simplify it to:

\[
\frac{1}{3}
\]

Next, consider the term \(\frac{1}{\frac{1}{-3}}\). This simplifies by taking the reciprocal of \(\frac{1}{-3}\), which is \(-3\):

\[
\frac{1}{\frac{1}{-3}} = -3
\]

Now, substitute these simplified values back into the original expression:

\[
\frac{1}{3} \cdot (-3)
\]

Perform the multiplication:

\[
\frac{1}{3} \cdot (-3) = -1
\]

Thus, the value of the expression is \(\boxed{-1}\).",B
"ඉන්දියාවේ සිට එක්සත් ජනපදයට ගමන් කිරීම සලකා බැලීමේදී රීවාට ""අදින්න"" සාධකයක් ලෙස සලකනු ලබන්නේ පහත සඳහන් සාධක මොනවාද?
A.අන්ත දරිද්රතාව
B.වඩා හොඳ රැකියාවක් සහ වැඩි වැටුප්
C.ඉන්දියාවේ කුල ක් රමය
D.ඇගේ අසල්වැසි ප් රචණ්ඩත්වය",B,"B.වඩා හොඳ රැකියාවක් සහ වැඩි වැටුප්

ඉන්දියාවේ සිට එක්සත් ජනපදයට ගමන් කිරීමේදී වඩා හොඳ රැකියාවක් සහ වැඩි වැටුප් ලබා ගැනීම ඉතා ප්‍රබල සාධකයකි. මෙම සාධකය නිසා බොහෝ ඉන්දීය ජනතාව ඉහළ ජීවන මට්ටමක් සහ වැඩි ආර්ථික අවස්ථා සොයා එක්සත් ජනපදයට ගමන් කරති.",B
"ප්රේරකයක් තුළ ප්රේරණය වන වෝල්ටීයතාවය නිරූපණය වන්නේ,
A.එහි ප්රේරණය සහ එය හරහා ධාරාව නිෂ්පාදනය.
B.එය හරහා ධාරාවට එහි ප්රේරණයේ අනුපාතය.
C.එහි ප්රේරණය ට එය හරහා ධාරාව අනුපාතය.
D.එහි ප්රේරණය සහ ඒ හරහා ධාරාව වෙනස් වීමේ අනුපාතයේ නිෂ්පාදිතය.",D,"ප්රේරකයක් තුළ ප්රේරණය වන වෝල්ටීයතාවය නිරූපණය වන්නේ C. එහි ප්රේරණය ට එය හරහා ධාරාව අනුපාතය ලෙසයි. මෙම අනුපාතය ඔම් නීතිය අනුව ගණනය කෙරේ, එනම් V = IR, මෙහි V යනු වෝල්ටීයතාවයයි, I යනු ධාරාවයි, සහ R යනු ප්රේරණයයි. එබැවින්, වෝල්ටීයතාවය ප්රේරණයට සහ එය හරහා ධාරාවට අනුපාතික වේ.",C
"ශ්රේණි පරිපථයක, එක් ලාම්පුවක ධාරාව 2 A නම්, ඒ අසල ඇති ලාම්පුවේ ධාරාව වේ
A.අර්ධ, 1 A
B.2:00 AM
C.බැටරියට සමීප වන්නේ කුමන ලාම්පුව මතද යන්න මත රඳා පවතී
D.කියන්න තරම් තොරතුරක් නෑ",B,"D. කියන්න තරම් තොරතුරක් නෑ

ශ්රේණි පරිපථයක් තුළ සියලුම උපාංග සමාන ධාරාවක් ලබා ගනී. එබැවින්, එක් ලාම්පුවක ධාරාව 2 A නම්, අසල ඇති ලාම්පුවේ ධාරාවද 2 A විය යුතුය. එමනිසා ඔබ සපයා ඇති විකල්ප අතර නිවැරදි පිළිතුර නොමැත.",D
"සෘණ අවශේෂ ස්වයං සම්බන්ධය පහත සඳහන් ඒවායින් කුමන එකකින් පෙන්නුම් කෙරේද?
A.අවශේෂ වල චක්රීය රටාවක්
B.අවශේෂ වල ප්රත්යාවර්ත රටාවක්
C.අවශේෂ වල සම්පූර්ණ අහඹුබව
D.සියල්ල ශුන්යයට ආසන්න අවශේෂ",B,"සෘණ අවශේෂ ස්වයං සම්බන්ධය පහත සඳහන් ඒවායින් ""B.අවශේෂ වල ප්රත්යාවර්ත රටාවක්"" යන්නෙන් පෙන්නුම් කෙරේ. මෙය තේරීමට හේතුව වන්නේ, සෘණ අවශේෂ ස්වයං සම්බන්ධය යනු අවශේෂ වල ප්රත්යාවර්ත රටාවක් පෙන්වන අතර, එය අවශේෂ වල ප්රත්යාවර්ත රටාවක් ලෙස ස්වයං සම්බන්ධ වීමේ දී පෙන්වයි.",B
"ක්රමලේඛකයෙක් පහත වැඩසටහන ලියා ඇත. මෙම වැඩසටහන numList ලෙස හැඳින්වෙන සංඛ්යා ලැයිස්තුවක් භාවිතා කරයි. මෙම වැඩසටහන ලැයිස්තුවේ ඇති සංඛ්යා වල එකතුව ප්රදර්ශනය කිරීමට අදහස් කෙරේ.
 සංඛ් යා ලේඛනයේ එකතුව ← [1]
 numList හි එක් එක් අගය සඳහා
 එකතුව ← එකතුව + අගය
 පෙන්වන්න එකතුව
 වැඩසටහන පරීක්ෂා කිරීම සඳහා, ක්රමලේඛකයා [0 , 1 , 4 , 5] වෙත අංක ලැයිස්තුව ආරම්භ කරයි. වැඩසටහන 10 ප්රදර්ශනය කරන අතර, ක්රමලේඛකයා නිගමනය කරන්නේ වැඩසටහන අපේක්ෂිත පරිදි ක්රියා කරන බවයි. පහත සඳහන් ඒවායින් සත්ය කුමක්ද?
A.නිගමනය නිවැරදිය; වැඩසටහන අපේක්ෂිත පරිදි ක්රියා කරයි.
B.නිගමනය වැරදියි; වැඩසටහන පරීක්ෂණ නඩුව සඳහා නිවැරදි අගය ප්රදර්ශනය නොකරයි [0, 1, 4, 5].
C.නිගමනය වැරදියි; පරීක්ෂණ නඩුව භාවිතා කිරීම [0, 1, 4, 5] වැඩසටහන නිවැරදි යැයි නිගමනය කිරීමට ප්රමාණවත් නොවේ.
D.නිගමනය වැරදියි; පරීක්ෂණ නඩුව භාවිතා කිරීම [0, 1, 4, 5] වැඩසටහන වැඩිවන අනුපිළිවෙලින් ලැයිස්තු සඳහා ක්රියා කරන බව පමණක් සනාථ කරයි.",C,"A.නිගමනය නිවැරදිය; වැඩසටහන අපේක්ෂිත පරිදි ක්රියා කරයි.

මෙම වැඩසටහන අනුව, numList ලෙස හැඳින්වෙන සංඛ්යා ලැයිස්තුවේ සෑම අගයක්ම එකතු කර එකතුව ප්රදර්ශනය කිරීම සඳහා යොදා ගනී. මෙහිදී, පරීක්ෂණ නඩුව වන [0, 1, 4, 5] යන අගයන් සඳහා එකතුව ගණනය කළ විට, එකතුව වන්නේ 0 + 1 + 4 + 5 = 10 ය. එම නිසා, වැඩසටහන නිවැරදිව ක්රියා කරන බවත්, එය අපේක්ෂිත පරිදි ප්රදර්ශනය කරන බවත් සනාථ වේ.",A
"අධි ශක්ති පොස්පේට්, ATP සහ ෆොස්ෆොක්රීටීන් බිඳවැටීමෙන් මුදා හරින ශක්තිය, උපරිම වෙහෙස ව්යායාම පවත්වා ගත හැකිය:
A.තත්පර 1-2.
B.තත්පර 5-10.
C.තත්පර 30-40.
D.තත්පර 50-60.",B,"අධි ශක්ති පොස්පේට් සංරක්ෂණය වන ATP සහ ෆොස්ෆොක්රීටීන් බිඳවැටීමෙන් මුදා හරින ශක්තිය උපරිම වෙහෙස ව්යායාම පවත්වා ගත හැකිය තත්පර 5-10 පමණ වේ. මෙම කාලය තුළ, ශරීරය ඉතා ඉහළ තීව්‍රතාවයේ ව්‍යායාම කිරීමට සමත් වේ, එමනිසා නිවැරදි පිළිතුර B. තත්පර 5-10 වේ.",B
"ටැංකියක් ත්රිකෝණාකාර ප්රිස්මයක හැඩයෙන් යුක්ත වේ. ත්රිකෝණාකාර පාදම වර්ග අඩි 116 ක භූමි ප්රමාණයකින් යුක්ත නම්, ටැංකිය අඩි 30 ක් උස නම්, එය පිරී ඇති විට ටැංකියේ ජලය කොපමණ ප්රමාණයක් අඩංගු වේද?
A.අඩි 1725 ^3
B.අඩි 1740 ^3
C.අඩි 3480 ^3
D.අඩි 6960 ^3",C,"ටැංකිය ත්රිකෝණාකාර ප්රිස්මයක් වන බැවින්, එහි පරිමාව සොයා ගැනීමට ප්‍රිස්මයේ පරිමා සූත්‍රය භාවිතා කරන්නේ ය:

\[ \text{Volume of the prism} = \text{Base area} \times \text{Height} \]

මෙහි ත්‍රිකෝණාකාර පාදමේ භූමි ප්‍රමාණය 116 වර්ග අඩි වන අතර උස 30 අඩි වේ.

\[ \text{Volume} = 116 \, \text{sq ft} \times 30 \, \text{ft} = 3480 \, \text{cubic feet} \]

එමනිසා ටැංකියේ ජලය පිරී ඇති විට එහි ජලය අඩංගු වන ප්‍රමාණය වන්නේ 3480 වර්ග අඩි කියන අතර එය උත්තර C වේ.",C
"ඩියුටීරියම් ක්ලෝරයිඩ් (DCl) හි අධෝරක්ත අවශෝෂණ සංඛ්යාතය හයිඩ්රජන් ක්ලෝරයිඩ් (HCl) වලින් මාරු කර ඇති බව ඒවායේ වෙනස්කම් නිසා වේ
A.ඉලෙක්ට්රෝන ව්යාප්තිය
B.ද්වි ධ්රැවීය මොහොත
C.බලය නියතය
D.ස්කන්ධය අඩු වීම",D,"ඩියුටීරියම් ක්ලෝරයිඩ් (DCl) සහ හයිඩ්රජන් ක්ලෝරයිඩ් (HCl) යන දෙකේම අධෝරක්ත අවශෝෂණ සංඛ්යාතය වෙනස් වන්නේ ඒවායේ ස්කන්ධය වෙනස් වීම නිසා වේ. ඩියුටීරියම් (D) හි ස්කන්ධය හයිඩ්රජන් (H) හි ස්කන්ධයට වඩා දෙගුණයකි. මෙය අනුරූප සංඛ්යාතයේ වෙනසට බලපාන අතර, ඩියුටීරියම් ක්ලෝරයිඩ් හි අධෝරක්ත අවශෝෂණ සංඛ්යාතය හයිඩ්රජන් ක්ලෝරයිඩ් වලට වඩා අඩු වේ.

පිළිතුර:
D.ස්කන්ධය අඩු වීම",D
"මැදිවියේ වැඩිහිටියන් වැඩිහිටි හෝ තරුණ වැඩිහිටියන්ට වඩා ____ බව පෙනේ
A.උත්පාදක
B.නියුරෝටික්
C.එකඟයි
D.නිශ්චිතයි",A,"B.නියුරෝටික්

මෙම වාක්‍යයේ සම්පූර්ණ අර්ථය හෝ සන්දර්භය නොදැන සිටියදී, නියුරෝටික් යන වචනය මැදිවියේ වැඩිහිටියන් සමඟ සම්බන්ධ විය හැකි ය. නියුරෝටික් යනු මොළයේ නියුරෝන් වල ක්‍රියාකාරිත්වය සම්බන්ධ යැයි සැලකෙන අතර, මෙය වයසට යාම සමඟ වෙනස් විය හැකි ය. එබැවින්, මෙම වචනය මැදිවියේ වැඩිහිටියන් සමඟ වැඩිපුර සම්බන්ධ විය හැකි ය.",B
"2017 දී ඒක පුද්ගල වැඩිම CO2 විමෝචනය කළේ පහත සඳහන් රටවල් මොනවාද?
A.ජපානය
B.කැනඩාව
C.රුසියාව
D.ඉරානය",B,"2017 දී එක් පුද්ගල වැඩිම CO2 විමෝචනය කළ රටවල් අතර ජපානය, කැනඩාව, රුසියාව හෝ ඉරානය නොවේ. එම වසරේදී එක් පුද්ගල වැඩිම CO2 විමෝචනය කළ රටවල් අතර ඇමෙරිකාව, කැනඩාව, ඕස්ට්‍රේලියාව සහ සවුදි අරාබියාව යන රටවල් ඇතුළත් වේ. එම රටවල් අතරින් කැනඩාව ඔබේ ලැයිස්තුවේ ඇති එකම රටයි. එබැවින්, ඔබේ ලැයිස්තුවේ ඇති රටවල් අතරින් හරියටම පිළිතුර B.කැනඩාව වේ.",B
"බටහිර යුරෝපයේ විසිවන ශතවර්ෂයේ ආරම්භයේ දී වඩාත් ජනප්රිය වූයේ කුමන මනෝවිද්යාත්මක ඉදිරිදර්ශනයද?
A.ස්නායු විද්යාව
B.පරිණාමීය
C.චර්යාවාදී
D.මනෝ විශ්ලේෂණ",D,"බටහිර යුරෝපයේ විසිවන ශතවර්ෂයේ ආරම්භයේ දී වඩාත් ජනප්රිය වූ මනෝවිද්යාත්මක ඉදිරිදර්ශනය වන්නේ මනෝ විශ්ලේෂණය (Psychoanalysis) ය. මෙය සිග්මන්ඩ් ෆ්රොයිඩ් විසින් විකසිත කරන ලද මනෝවිද්යාත්මක ප්‍රවේශයකි. මෙම ප්‍රවේශය මනසේ අචේතනාත්මක අංශයන් සහ අවචේතනාත්මක බලපෑම් පිළිබඳ ගැඹුරු විග්‍රහයක් ලබා දෙයි. එබැවින්, ඔබේ ප්‍රශ්නයට පිළිතුර D. මනෝ විශ්ලේෂණය වේ.",D
