Question,CorrectAnswer,GivenAnswer,Correct
"Танк нь гурвалжин призм хэлбэртэй байдаг. Гурвалжингийн бааз нь 116 м2 талбайтай, танк нь 30 метр өндөр байвал сав дүүрсэн үед хэр их ус агуулах вэ?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",c,,true
�ж тэр хэлдэг.
C.Тэрбээр ядуурлынхаа хариуцлагыг хүн бүр хүлээдэг гэж батлан хэлдэг.
D.Тэрээр тэгш эрхийн үзэл санааг бүрмөсөн эсэргүүцдэг.",b,,true
, 5] хүртэл эхлүүлэгчид олгодог. Программ нь 10-ыг үзүүлдэг бөгөөд программист нь уг програмыг зориулалтын дагуу ажилладаг гэж дүгнэдэг. Дараах зүйлсийн аль нь үнэн бэ?
A.Дүгнэлт нь зөв; хөтөлбөр нь төлөвлөсний дагуу ажиллана.
B.Дүгнэлт нь буруу; программ нь шалгалтын хэргийн зөв үнэ цэнийг харуулдаггүй [0, 1, 4, 5].
C.Дүгнэлт нь буруу; тестийн хэргийг [0, 1, 4, 5] ашиглан программыг зөв гэж дүгнэхэд хангалттай биш.
D.Дүгнэлт нь буруу; шалгалтын хэргийг [0, 1, 4, 5] ашиглан програм нь дэг журмыг нэмэгдүүлэх жагсаалтуудад ажилладаг гэдгийг л баталж байна.",c,,true
й тулаанч гэсэн нэр хүндтэй:
Тэд нохой, тахиа шиг бөөгнөрүүлж, эрэгтэй хүн бүр биширчээ.
""Харин эрхэм ээ, хэдийгээр та нараас асуухад сайн ч,
Гомдоллох нь цэргийн үүрэг биш.
Бид зөвхөн толгой сэгсэрч чадна. Энэ өвлийг авч үзье:
Шансигийн цэргүүдийг хэзээ ч гэр рүүгээ явуулж байгаагүй.
Дүүргийн газрын албаныхан газрын албан татварыг шаардаж,
Тэгвэл хаанаас гарах вэ? Чулуунаас цус авч болохгүй!
Үнэнийг хэлэхэд одоо хүү төрүүлэх нь азгүй хэрэг гэж бодож байна,
Охинтой болсон нь дээр: ядаж л гэрлэж болно
Зэргэлдээх хөршүүдтэйгээ хамт амьдар.
Харин хүү нь алс холын хээр талд хэвтэнэ» гэж байдаг.
Ду Фу, ""Армийн картуудын Баллад"", ca. 750.
Энэ шүлэг Танг нийгэм дэх хүйсийн харилцааны талаар дараах зүйлсийн аль нь болохыг нотолжээ.
A.Танг нийгэмд нөхөр эхнэр хоёрын харилцаа бат бөх хэвээр байлаа.
B.Эзэн хааны бичээсүүд нь цэрэгт татагдсан квотыг биелүүлэхийн тулд охид дээр чадварлаг хөвгүүд төрөхийг онцлон тэмдэглэсэн байдаг.
C.Хөдөө аж ахуйн ажлыг эмэгтэйчүүд, эрэгтэйчүүд ч хуваалцаж болно.
D.Эмпресс Ву Зетянь хааны үед Хятадын уламжлалт хүйсийн харилцаа өөрчлөгдсөн.",c,,false
